OSF.surprised,OSF.upset,OSF.angry,OSF.jealous,OSF.happy,OSF.threatened,OSF.relieved,OSF.sad,SSF.surprised,SSF.upset,SSF.angry,SSF.jealous,SSF.happy,SSF.threatened,SSF.relieved,SSF.sad,Rom.surprised,Rom.upset,Rom.angry,Rom.jealous,Rom.happy,Rom.threatened,Rom.relieved,Rom.sad,Age.Participant,Relationship.Status.Participant,Gender,Sexual.Orientation.Participant,Age.Friend,OSF.closer.SSF,Friendship.Duration.Wks,Meeting.type,InPerson.communication.type,Phone.communication.type,SocialNetwork.communication.type,Email.communication.type,Contact.Frequency,Sexual.Orientation.Friend,Comparison.Attractive,Romantic.Attraction.tofriend,Sexual.Attraction.tofriend,Clearly.Dating.Their.OSF
1,1,1,1,4,1,3,1,3,1,1,1,4,1,3,1,1,1,1,1,3,1,3,1,20,3,1,2,20,2,60,1,1,2,1,2,3,2,4,1,2,2
4,4,3,4,2,3,1,1,1,1,1,2,4,1,1,1,4,4,4,3,1,1,1,2,21,3,2,2,24,1,156,1,1,1,2,2,1,2,5,4,1,2
1,1,1,1,4,1,4,1,1,1,1,1,4,1,3,1,2,1,1,1,4,1,3,1,21,1,2,2,21,2,156,5,1,1,2,2,2,2,4,4,4,2
1,1,1,1,4,1,3,1,1,1,1,1,4,1,4,1,1,1,1,1,4,1,4,1,19,1,2,1,19,2,520,5,1,1,1,2,2,2,2,1,1,2
2,1,1,1,3,1,1,1,3,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,19,3,2,2,18,2,52,1,1,2,1,2,5,2,1,1,1,2
1,2,1,2,4,2,1,1,1,1,1,1,5,1,1,1,1,2,1,2,4,1,1,1,19,1,1,2,19,2,364,5,2,1,2,2,1,2,7,7,7,2
4,3,2,1,5,5,1,5,2,1,1,1,5,1,3,1,5,5,5,5,1,1,1,5,20,1,1,2,23,1,1000,7,1,1,1,1,1,2,7,7,7,2
2,1,1,1,4,1,2,1,1,1,1,1,4,1,2,1,1,1,1,1,4,1,1,1,18,3,1,2,18,2,50,6,1,1,1,2,1,2,4,1,1,2
1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,19,1,1,2,19,2,260,5,1,1,1,2,1,2,5,3,3,2
1,1,1,2,3,1,1,1,1,1,1,1,4,1,1,1,3,1,1,2,4,1,1,1,19,1,1,2,19,2,364,5,1,1,1,2,1,2,5,3,4,2
3,1,1,1,4,2,2,1,2,1,1,1,4,2,2,1,5,2,1,1,4,2,3,1,19,3,2,2,19, ,47,5,1,1,1,2,1,2,2,1,1,2
3,1,1,2,4,1,3,1,4,1,1,1,5,1,4,1,1,1,1,1,4,1,4,1,19,3,2,1,19,1,30,1,1,1,1,2,2,2,4,4,2,2
3,1,1,2,3,2,1,2,1,2,1,3,4,2,1,2,1,1,1,2,4,1,4,1,19,1,2,2,19,2,150,3,2,1,2,2,2,1,3,1,1,2
1,1,1,1,5,1,1,1,1,1,1,1,5,1,3,1,3,1,1,1,4,1,1,1,19,1,1,2,19,2,88,1,1,2,1,2,1,2,6,1,1,2
2,2,1,3,2,2,2,2,2,1,1,1,4,1,2,1,5,4,4,4,2,4,2,2,19,1,2,2,19,2,60,5, , , , , , , , , ,2
5,5,5,5,1,1,1,5,5,3,4,3,1,1,1,5,5,5,5,5,1,1,1,5,19,3,2,2,19,1,104,1,1,1,2,2,1,2,7,7,7,2
1,1,1,1,4,1,1,1,1,1,1,1,4,1,2,1,2,2,1,2,4,1,1,2,18,1,2,2,18,2,5,3,1,1,2,2,3,4,5,3,3,2
1,1,1,2,4,2,2,1,2,1,1,2,3,1,2,1,2,1,1,2,4,2,3,1,20,3,2,2,21,2,54,5,1,1,1,2,3,4,4,1,1,2
1,1,1,1,4,1,3,1,1,1,1,2,4,1,3,1,2,1,1,3,4,1,3,1,20,1,2,2,21,2,55,5,1,1,2,2,3,4,4,1,1,2
1,1,1,3,4,3,2,3,1,1,1,2,5,2,2,3,4,4,3,3,2,4,1,4,18,1,2,2,20,2,5,2,1,1,1,2,2,4,5,4,3,2
2,1,1,1,3,2,1,2,2,1,1,1,4,1,2,1,5,3,1,1,3,1,1,1,19,1,2,2,19,2,52,5,1,1,1,2,1,3,5,1,1,2
1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,2,1,1,1,21,3,1,2,21,1,416,5,1,1,1,2,1,2,4,1,1,2
1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,22,3,2,2,21,2,150,5,1,2,2,2,2,2,4,1,1,2
3,1,1,2,3,1,4,1,1,1,1,1,4,1,1,1,4,1,1,1,2,2,1,1,18,1,1,2,16,1,52,5,1,2,1,2,2,3,4,1,1,2
2,4,4,3,1,2,2,3,1,1,1,2,1,2,1,2,3,5,4,4,1,4,1,4,22,1,1,2,22,2,104,1,1,1,2,2,2,2,7,7,7,2
1,1,1,1,5,1,1,1,3,1,1,1,5,1,2,1,1,1,1,1,5,1,3,1,19,1,1,3,19,2,312,5,1,1,1,2,1,2,1,1,1,2
1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,3,1,1,1,20,1,1,2,19,2,52,5,1,1,1,2,2,1,7,4,7,2
3,2,2,3,2,3,1,3,4,1,1,2,4,1,4,2,5,3,3,3,2,4,1,3,20,2,1,2,19,1,48,1,1,1,1,2,1,2,5,4,5,2
1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,4,1,2,1,22,3,1,2,21,2,150,6,1,2,2,2,2,2,5,1,1,2
1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,4,1,1,1,23,3,1,2,22,2,364,1,1,1,2,2,4,3,6,1,1,2
1,1,1,1,4,4,3,1,1,1,1,1,5,1,3,1,1,1,1,1,5,5,2,1,21,1,1,2,19,2,572,1,1,2,1,2,1,2,5,1,1,2
2,1,1,2,4,1,4,1,1,1,1,1,4,1,3,1,1,1,1,1,4,1,3,1,20,2,1,2,20,2,400,5,1,2,2,2,4,2,4,1,1,2
3,1,1,1,3,1,1,1,1,1,1,1,4,1,1,1,3,1,1,2,3,1,1,1,20,3,1,2,20,2,104,5, ,1,2,2,1,2,6,4,2,2
4,5,4,5,1,4,1,5,1,1,1,1,4,1,1,1,5,5,5,5,1,5,1,5,19,3,2,2,20,2,156,1,1,1,1,2,1,2,7,7,7,1
2,2,1,1,4,1,1,2,1,1,1,1,4,1,1,1,3,1,1,1,3,1,1,1,19,3,2,2,20,2,52,1,1,1,1,2,1,2,3,1,1,2
